Marka,İşlemci Tipi,Ram (GB),SSD kapasitesi (GB),Ekran Boyutu (inç),Cihaz Ağırlığı,İşlemci Çekirdek Sayısı,İşlemci Nesli,Dokunmatik Ekran,Ekran Yenileme Hızı (Hz),İşlemci Sınıfı,Marka Sınıfı,Cihaz Ağırlığı Sınıfı,Fiyat
ASUS,Intel Core i5,8,512.0,13.3,2 kg ve Altı,4,11,0,60,9,1,1,18599.0
HP,Intel Core i9,32,2048.0,17.3,2 - 4 kg,24,13,0,240,11,7,0,69499.0
ASUS,Intel Core i5,8,256.0,15.6,2 kg ve Altı,4,11,0,60,9,1,1,10999.0
ACER,AMD Ryzen 5,8,256.0,15.6,2 - 4 kg,6,5,0,144,4,0,0,13599.0
Monster,Intel Core i5,16,512.0,14.1,2 - 4 kg,10,12,0,60,9,14,0,16199.0
ACER,AMD Ryzen 5,8,512.0,15.6,2 - 4 kg,6,5,0,144,4,0,0,14767.0
Dell,Intel Core i5,16,512.0,15.6,2 kg ve Altı,4,11,0,60,9,6,1,13663.26
Dell,Intel Core i5,16,512.0,15.6,2 kg ve Altı,10,12,1,60,9,6,1,17999.0
Casper,Intel Core i7,16,1024.0,15.6,2 - 4 kg,10,12,0,144,10,4,0,28599.0
Casper,Intel Core i5,16,1024.0,15.6,2 - 4 kg,8,12,0,144,9,4,0,17272.0
Intel,Intel Core i7,16,500.0,15.6,2 - 4 kg,6,9,0,144,10,9,0,23500.0
ASUS,Intel Core i5,16,512.0,15.6,2 - 4 kg,6,11,0,144,9,1,0,20099.0
ASUS,Intel Core i5,8,512.0,15.6,2 - 4 kg,6,11,0,144,9,1,0,15999.0
ACER,AMD Ryzen 7,8,512.0,15.6,2 kg ve Altı,8,5,0,144,5,0,1,24499.0
Dell,Intel Core i5,16,512.0,15.6,2 kg ve Altı,4,11,0,60,9,6,1,11886.42
HP,Intel Core i7,16,512.0,16.1,2 - 4 kg,14,12,0,144,10,7,0,26899.0
MSI,Intel Core i7,16,512.0,15.6,2 - 4 kg,10,12,1,240,10,12,0,50309.83
ASUS,Intel Celeron,16,1024.0,15.6,2 kg ve Altı,2,5,0,60,7,1,1,9799.89
Casper,Intel Core i7,16,1024.0,14.0,2 kg ve Altı,4,11,0,60,10,4,1,13699.0
Casper,Intel Core i5,8,250.0,15.6,2 - 4 kg,8,12,0,144,9,4,0,18999.0
MSI,Intel Core i7,16,1024.0,17.3,2 - 4 kg,8,11,0,144,10,12,0,29499.0
ASUS,Intel Core i5,8,512.0,15.6,2 - 4 kg,4,10,0,144,9,1,0,15999.0
ASUS,Intel Core i5,16,512.0,15.6,2 - 4 kg,6,11,0,144,9,1,0,16999.0
HP,Intel Core i5,16,1024.0,15.6,2 - 4 kg,12,12,0,144,9,7,0,20999.0
ACER,AMD Ryzen 7,32,1024.0,17.3,2 - 4 kg,8,5,0,360,5,0,0,44549.01
LENOVO,AMD Ryzen 7,16,512.0,15.6,2 - 4 kg,8,7,0,60,5,10,0,12799.0
HP,Intel Core i5,16,512.0,15.6,2 - 4 kg,12,13,0,144,9,7,0,24999.0
MSI,Intel Core i5,8,512.0,15.6,2 kg ve Altı,4,12,0,144,9,12,1,18199.0
HP,Intel Core i7,32,512.0,16.1,2 - 4 kg,14,12,0,144,10,7,0,30699.0
HP,Intel Core i7,16,512.0,15.6,2 kg ve Altı,12,12,0,60,10,7,1,19999.0
ASUS,AMD Ryzen 7,16,1024.0,13.3,2 kg ve Altı,8,6,0,120,5,1,1,29199.0
ASUS,AMD Ryzen 7,16,1024.0,15.6,2 - 4 kg,8,7,0,144,5,1,0,33969.0
Monster,Intel Core i7,8,500.0,15.6,2 - 4 kg,8,11,0,144,10,14,0,25699.0
ASUS,AMD,1,1024.0,10.0,2 - 4 kg,1,1,0,120,0,1,0,7199.0
Casper,Intel Core i5,16,1024.0,15.6,2 - 4 kg,8,12,0,144,9,4,0,26399.0
Apple,M2,8,256.0,13.0,2 kg ve Altı,8,2,0,144,13,3,1,30499.0
MSI,Intel Core i7,16,1024.0,17.3,2 - 4 kg,10,12,0,144,10,12,0,44499.0
HP,Intel Core i5,8,512.0,16.1,2 - 4 kg,6,12,0,144,9,7,0,18999.99
ASUS,Intel Core i3,8,128.0,15.6,2 kg ve Altı,2,11,0,60,8,1,1,7879.0
HP,AMD Ryzen 7,16,512.0,15.6,2 - 4 kg,8,5,0,144,5,7,0,19999.0
Apple,M2,8,512.0,13.3,2 kg ve Altı,8,2,0,120,13,3,1,41799.0
Monster,Intel Core i5,16,1024.0,15.6,2 - 4 kg,12,12,0,144,9,14,0,20399.0
Toshiba,Intel Core i5,8,256.0,15.6,2 kg ve Altı,4,10,0,60,9,17,1,11699.0
MSI,Intel Core i9,32,2048.0,17.3,2 - 4 kg,14,13,0,240,11,12,0,70599.0
HP,Intel Core i7,16,512.0,16.1,2 - 4 kg,14,12,0,144,10,7,0,23759.01
Monster,Intel Core i7,32,500.0,17.3,2 - 4 kg,14,12,0,144,10,14,0,27199.0
ASUS,Intel Core i7,16,512.0,15.6,2 - 4 kg,14,12,0,144,10,1,0,24994.0
ASUS,Intel Celeron,8,256.0,15.6,2 kg ve Altı,2,5,0,60,7,1,1,7649.0
ACER,Intel Core i3,8,256.0,15.6,2 kg ve Altı,8,11,0,60,8,0,1,7394.0
Casper,Intel Core i9,64,2048.0,16.0,2 - 4 kg,24,13,0,165,11,4,0,78599.0
ASUS,AMD Ryzen 7,16,512.0,15.6,2 - 4 kg,8,6,0,144,5,1,0,44549.01
Monster,Intel Core i7,16,500.0,17.3,2 - 4 kg,14,12,0,144,10,14,0,24799.0
Casper,Intel Core i7,32,2048.0,15.6,2 - 4 kg,10,12,0,144,10,4,0,22999.0
Dell,Intel Core i5,16,512.0,15.6,2 - 4 kg,6,11,0,120,9,6,0,18999.0
LENOVO,AMD Ryzen 7,16,1024.0,15.6,2 - 4 kg,8,5,0,144,5,10,0,30699.0
Casper,Intel Core i5,32,1024.0,15.6,2 - 4 kg,8,12,0,144,9,4,0,25499.0
